18:10:47 - CPU: 11.9% | Memory: 39.2% (67.1 GB)
18:11:40 - CPU: 11.8% | Memory: 39.2% (67.0 GB)
18:11:41 - CPU: 11.5% | Memory: 39.2% (67.0 GB)
18:11:42 - CPU: 11.6% | Memory: 39.2% (67.0 GB)
18:11:43 - CPU: 11.5% | Memory: 39.2% (67.0 GB)
18:11:44 - CPU: 12.1% | Memory: 39.2% (67.0 GB)
18:11:45 - CPU: 11.5% | Memory: 39.1% (67.0 GB)
18:11:46 - CPU: 11.5% | Memory: 39.1% (67.0 GB)
18:11:47 - CPU: 11.6% | Memory: 39.1% (67.0 GB)
18:11:49 - CPU: 11.6% | Memory: 39.1% (67.0 GB)
18:11:50 - CPU: 11.4% | Memory: 39.1% (67.0 GB)
18:11:51 - CPU: 11.8% | Memory: 39.1% (67.0 GB)
18:11:52 - CPU: 11.4% | Memory: 39.1% (67.0 GB)
18:11:53 - CPU: 11.5% | Memory: 39.1% (66.9 GB)
18:11:54 - CPU: 30.4% | Memory: 39.1% (66.9 GB)
18:11:55 - CPU: 12.4% | Memory: 39.1% (66.9 GB)
18:11:56 - CPU: 14.0% | Memory: 39.1% (66.9 GB)
18:11:57 - CPU: 12.7% | Memory: 39.1% (66.9 GB)
18:11:58 - CPU: 12.3% | Memory: 39.1% (66.9 GB)
18:11:59 - CPU: 12.7% | Memory: 39.2% (67.0 GB)
18:12:00 - CPU: 12.5% | Memory: 39.2% (67.0 GB)
18:12:01 - CPU: 13.5% | Memory: 39.2% (67.1 GB)
18:12:02 - CPU: 11.6% | Memory: 39.2% (67.1 GB)
18:12:03 - CPU: 14.4% | Memory: 39.2% (67.1 GB)
18:12:04 - CPU: 11.8% | Memory: 39.2% (67.1 GB)
18:12:05 - CPU: 11.5% | Memory: 39.2% (67.1 GB)
18:12:06 - CPU: 11.5% | Memory: 39.2% (67.1 GB)
18:12:07 - CPU: 11.6% | Memory: 39.2% (67.0 GB)
18:12:08 - CPU: 11.7% | Memory: 39.2% (67.0 GB)
18:12:09 - CPU: 11.9% | Memory: 39.2% (67.0 GB)
18:12:10 - CPU: 11.9% | Memory: 39.2% (67.0 GB)
18:12:11 - CPU: 11.5% | Memory: 39.2% (67.0 GB)
18:12:12 - CPU: 11.8% | Memory: 39.2% (67.0 GB)
18:12:13 - CPU: 12.0% | Memory: 39.2% (67.0 GB)
18:12:14 - CPU: 12.3% | Memory: 39.2% (67.1 GB)
18:12:15 - CPU: 11.5% | Memory: 39.2% (67.0 GB)
18:12:16 - CPU: 13.4% | Memory: 39.2% (67.1 GB)
18:12:17 - CPU: 13.1% | Memory: 39.2% (67.1 GB)
18:12:18 - CPU: 13.5% | Memory: 39.2% (67.1 GB)
18:12:19 - CPU: 13.2% | Memory: 39.2% (67.1 GB)
18:12:20 - CPU: 12.8% | Memory: 39.2% (67.1 GB)
18:12:21 - CPU: 12.8% | Memory: 39.2% (67.1 GB)
18:12:22 - CPU: 13.5% | Memory: 39.3% (67.2 GB)
18:12:23 - CPU: 13.0% | Memory: 39.3% (67.2 GB)
18:12:24 - CPU: 13.0% | Memory: 39.3% (67.2 GB)
18:12:25 - CPU: 12.8% | Memory: 39.3% (67.2 GB)
18:12:26 - CPU: 13.9% | Memory: 39.3% (67.3 GB)
18:12:27 - CPU: 14.8% | Memory: 39.2% (67.0 GB)
18:12:28 - CPU: 16.4% | Memory: 39.2% (67.1 GB)
18:12:29 - CPU: 15.0% | Memory: 39.2% (67.1 GB)
18:12:30 - CPU: 13.2% | Memory: 39.2% (67.1 GB)
18:12:31 - CPU: 18.2% | Memory: 39.6% (67.8 GB)
18:12:32 - CPU: 23.3% | Memory: 39.6% (67.9 GB)
18:12:33 - CPU: 17.9% | Memory: 39.4% (67.4 GB)
18:12:34 - CPU: 20.4% | Memory: 39.6% (67.8 GB)
18:12:35 - CPU: 23.2% | Memory: 39.6% (67.8 GB)
18:12:36 - CPU: 17.4% | Memory: 39.3% (67.3 GB)
18:12:37 - CPU: 22.9% | Memory: 39.6% (67.8 GB)
18:12:38 - CPU: 23.2% | Memory: 39.6% (67.8 GB)
18:12:39 - CPU: 23.2% | Memory: 39.6% (67.8 GB)
18:12:40 - CPU: 23.7% | Memory: 39.6% (67.8 GB)
18:12:41 - CPU: 20.7% | Memory: 39.7% (67.9 GB)
18:12:42 - CPU: 27.4% | Memory: 39.7% (67.9 GB)
18:12:43 - CPU: 26.0% | Memory: 39.3% (67.2 GB)
18:12:44 - CPU: 26.6% | Memory: 39.7% (68.0 GB)
18:12:45 - CPU: 26.8% | Memory: 39.7% (68.0 GB)
18:12:46 - CPU: 39.3% | Memory: 40.3% (69.1 GB)
18:12:47 - CPU: 51.2% | Memory: 40.3% (69.1 GB)
18:12:48 - CPU: 42.4% | Memory: 39.4% (67.5 GB)
18:12:49 - CPU: 18.8% | Memory: 39.5% (67.7 GB)
18:12:50 - CPU: 21.6% | Memory: 39.5% (67.7 GB)
18:12:51 - CPU: 16.1% | Memory: 39.3% (67.2 GB)
18:12:52 - CPU: 13.6% | Memory: 39.3% (67.2 GB)
18:12:53 - CPU: 13.1% | Memory: 39.3% (67.2 GB)
18:12:54 - CPU: 13.2% | Memory: 39.2% (67.1 GB)
18:12:55 - CPU: 13.0% | Memory: 39.2% (67.1 GB)
18:12:56 - CPU: 12.6% | Memory: 39.2% (67.1 GB)
18:12:57 - CPU: 13.1% | Memory: 39.2% (67.1 GB)
18:12:58 - CPU: 13.2% | Memory: 39.2% (67.1 GB)
18:12:59 - CPU: 13.9% | Memory: 39.2% (67.1 GB)
18:13:00 - CPU: 13.1% | Memory: 39.2% (67.1 GB)
18:13:01 - CPU: 12.8% | Memory: 39.2% (67.1 GB)
18:13:02 - CPU: 12.3% | Memory: 39.2% (67.1 GB)
18:13:03 - CPU: 12.3% | Memory: 39.2% (67.0 GB)
18:13:04 - CPU: 12.8% | Memory: 39.2% (67.0 GB)
18:13:05 - CPU: 13.4% | Memory: 39.2% (67.2 GB)
18:13:06 - CPU: 12.3% | Memory: 39.3% (67.2 GB)
18:13:07 - CPU: 12.5% | Memory: 39.3% (67.2 GB)
18:13:08 - CPU: 12.7% | Memory: 39.3% (67.2 GB)
18:13:09 - CPU: 14.9% | Memory: 39.4% (67.3 GB)
18:13:10 - CPU: 13.2% | Memory: 39.4% (67.4 GB)
18:13:11 - CPU: 14.0% | Memory: 39.4% (67.4 GB)
18:13:12 - CPU: 12.9% | Memory: 39.4% (67.4 GB)
18:13:13 - CPU: 13.0% | Memory: 39.4% (67.4 GB)
18:13:14 - CPU: 13.3% | Memory: 39.4% (67.4 GB)
18:13:15 - CPU: 12.8% | Memory: 39.4% (67.4 GB)
18:13:16 - CPU: 12.7% | Memory: 39.4% (67.4 GB)
18:13:17 - CPU: 13.2% | Memory: 39.4% (67.4 GB)
18:13:18 - CPU: 12.9% | Memory: 39.4% (67.3 GB)
18:13:19 - CPU: 12.9% | Memory: 39.3% (67.3 GB)
18:13:20 - CPU: 12.9% | Memory: 39.3% (67.3 GB)
18:13:21 - CPU: 12.7% | Memory: 39.3% (67.3 GB)
18:13:22 - CPU: 12.7% | Memory: 39.3% (67.3 GB)
18:13:23 - CPU: 12.8% | Memory: 39.3% (67.3 GB)
18:13:24 - CPU: 13.5% | Memory: 39.3% (67.3 GB)
18:13:25 - CPU: 13.5% | Memory: 39.4% (67.4 GB)
18:13:26 - CPU: 12.7% | Memory: 39.4% (67.3 GB)
18:13:27 - CPU: 12.8% | Memory: 39.3% (67.3 GB)
18:13:28 - CPU: 13.0% | Memory: 39.3% (67.3 GB)
18:13:29 - CPU: 13.5% | Memory: 39.3% (67.3 GB)
18:13:30 - CPU: 13.5% | Memory: 39.3% (67.3 GB)
18:13:31 - CPU: 12.7% | Memory: 39.3% (67.3 GB)
18:13:32 - CPU: 13.1% | Memory: 39.3% (67.2 GB)
18:13:33 - CPU: 12.9% | Memory: 39.3% (67.2 GB)
18:13:34 - CPU: 13.0% | Memory: 39.3% (67.2 GB)
18:13:35 - CPU: 13.2% | Memory: 39.3% (67.2 GB)
18:13:36 - CPU: 13.2% | Memory: 39.3% (67.2 GB)
18:13:37 - CPU: 13.0% | Memory: 39.3% (67.2 GB)
18:13:38 - CPU: 12.7% | Memory: 39.3% (67.2 GB)
18:13:39 - CPU: 12.8% | Memory: 39.3% (67.2 GB)
18:13:40 - CPU: 12.9% | Memory: 39.3% (67.2 GB)
18:13:41 - CPU: 13.0% | Memory: 39.3% (67.2 GB)
18:13:42 - CPU: 13.1% | Memory: 39.3% (67.2 GB)
18:13:43 - CPU: 12.4% | Memory: 39.2% (67.1 GB)
18:13:44 - CPU: 12.7% | Memory: 39.2% (67.1 GB)
18:13:45 - CPU: 13.0% | Memory: 39.2% (67.1 GB)
18:13:46 - CPU: 12.8% | Memory: 39.2% (67.1 GB)
18:13:47 - CPU: 12.9% | Memory: 39.2% (67.1 GB)
18:13:48 - CPU: 13.8% | Memory: 39.2% (67.1 GB)
18:13:49 - CPU: 13.3% | Memory: 39.2% (67.1 GB)
18:13:50 - CPU: 12.9% | Memory: 39.2% (67.1 GB)
18:13:51 - CPU: 12.7% | Memory: 39.2% (67.1 GB)
18:13:52 - CPU: 12.9% | Memory: 39.2% (67.1 GB)
18:13:53 - CPU: 12.7% | Memory: 39.2% (67.1 GB)
18:13:54 - CPU: 13.3% | Memory: 39.2% (67.1 GB)
18:13:55 - CPU: 12.9% | Memory: 39.2% (67.1 GB)
18:13:56 - CPU: 13.1% | Memory: 39.2% (67.1 GB)
18:13:57 - CPU: 13.0% | Memory: 39.2% (67.1 GB)
18:13:58 - CPU: 13.1% | Memory: 39.2% (67.1 GB)
18:13:59 - CPU: 14.3% | Memory: 39.2% (67.1 GB)
18:14:00 - CPU: 15.3% | Memory: 39.2% (67.0 GB)
18:14:01 - CPU: 14.7% | Memory: 39.2% (67.1 GB)
18:14:02 - CPU: 14.2% | Memory: 39.2% (67.1 GB)
18:14:03 - CPU: 13.8% | Memory: 39.2% (67.1 GB)
18:14:04 - CPU: 13.7% | Memory: 39.2% (67.1 GB)
18:14:05 - CPU: 12.7% | Memory: 39.2% (67.1 GB)
18:14:06 - CPU: 12.9% | Memory: 39.2% (67.1 GB)
18:14:07 - CPU: 13.7% | Memory: 39.2% (67.0 GB)
18:14:08 - CPU: 12.7% | Memory: 39.2% (67.0 GB)
18:14:09 - CPU: 12.7% | Memory: 39.2% (67.0 GB)
18:14:10 - CPU: 12.7% | Memory: 39.2% (67.0 GB)
18:14:11 - CPU: 12.7% | Memory: 39.2% (67.0 GB)
18:14:12 - CPU: 12.9% | Memory: 39.2% (67.0 GB)
18:14:13 - CPU: 14.6% | Memory: 39.2% (67.0 GB)
18:14:14 - CPU: 13.5% | Memory: 39.2% (67.1 GB)
18:14:15 - CPU: 13.3% | Memory: 39.2% (67.1 GB)
18:14:16 - CPU: 12.7% | Memory: 39.2% (67.1 GB)
18:14:17 - CPU: 12.9% | Memory: 39.2% (67.1 GB)
18:14:18 - CPU: 12.9% | Memory: 39.2% (67.1 GB)
18:14:19 - CPU: 13.4% | Memory: 39.2% (67.1 GB)
18:14:20 - CPU: 12.8% | Memory: 39.2% (67.0 GB)
18:14:21 - CPU: 12.9% | Memory: 39.2% (67.1 GB)
18:14:22 - CPU: 13.1% | Memory: 39.3% (67.2 GB)
18:14:23 - CPU: 12.6% | Memory: 39.3% (67.2 GB)
18:14:24 - CPU: 12.9% | Memory: 39.3% (67.2 GB)
18:14:25 - CPU: 13.4% | Memory: 39.3% (67.2 GB)
18:14:26 - CPU: 12.7% | Memory: 39.3% (67.2 GB)
18:14:27 - CPU: 12.7% | Memory: 39.3% (67.2 GB)
18:14:28 - CPU: 13.0% | Memory: 39.3% (67.2 GB)
18:14:29 - CPU: 12.7% | Memory: 39.3% (67.2 GB)
18:14:30 - CPU: 12.9% | Memory: 39.3% (67.2 GB)
18:14:31 - CPU: 13.2% | Memory: 39.3% (67.2 GB)
18:14:32 - CPU: 14.5% | Memory: 39.5% (67.6 GB)
18:14:33 - CPU: 14.0% | Memory: 39.8% (68.1 GB)
18:14:34 - CPU: 12.8% | Memory: 39.3% (67.2 GB)
18:14:35 - CPU: 12.9% | Memory: 39.3% (67.2 GB)
18:14:36 - CPU: 12.9% | Memory: 39.3% (67.2 GB)
18:14:37 - CPU: 13.6% | Memory: 39.3% (67.2 GB)
18:14:38 - CPU: 12.8% | Memory: 39.3% (67.2 GB)
18:14:39 - CPU: 12.8% | Memory: 39.3% (67.2 GB)
18:14:40 - CPU: 12.9% | Memory: 39.3% (67.2 GB)
18:14:41 - CPU: 12.8% | Memory: 39.3% (67.2 GB)
18:14:42 - CPU: 12.9% | Memory: 39.3% (67.2 GB)
18:14:43 - CPU: 13.1% | Memory: 39.3% (67.2 GB)
18:14:44 - CPU: 13.3% | Memory: 39.3% (67.2 GB)
18:14:45 - CPU: 13.3% | Memory: 39.3% (67.2 GB)
18:14:46 - CPU: 12.7% | Memory: 39.3% (67.2 GB)
18:14:47 - CPU: 15.4% | Memory: 39.3% (67.2 GB)
18:14:48 - CPU: 12.8% | Memory: 39.3% (67.2 GB)
18:14:49 - CPU: 13.0% | Memory: 39.3% (67.2 GB)
18:14:50 - CPU: 13.5% | Memory: 39.2% (67.0 GB)
18:14:51 - CPU: 12.9% | Memory: 39.2% (67.0 GB)
18:14:52 - CPU: 12.7% | Memory: 39.2% (67.0 GB)
18:14:53 - CPU: 12.8% | Memory: 39.2% (67.0 GB)
18:14:54 - CPU: 12.8% | Memory: 39.2% (67.0 GB)
18:14:55 - CPU: 13.3% | Memory: 39.2% (67.0 GB)
18:14:56 - CPU: 13.5% | Memory: 39.2% (67.0 GB)
18:14:57 - CPU: 13.1% | Memory: 39.2% (67.0 GB)
18:14:58 - CPU: 14.0% | Memory: 39.2% (67.0 GB)
18:14:59 - CPU: 15.8% | Memory: 39.2% (67.0 GB)
18:15:00 - CPU: 14.7% | Memory: 39.2% (67.0 GB)
18:15:01 - CPU: 13.9% | Memory: 39.2% (67.0 GB)
18:15:02 - CPU: 14.2% | Memory: 39.2% (67.0 GB)
18:15:03 - CPU: 14.3% | Memory: 39.2% (67.0 GB)
18:15:04 - CPU: 13.8% | Memory: 39.2% (67.0 GB)
18:15:05 - CPU: 13.8% | Memory: 39.2% (67.0 GB)
18:15:06 - CPU: 23.0% | Memory: 39.2% (67.0 GB)
18:15:07 - CPU: 23.8% | Memory: 39.2% (67.1 GB)
18:15:08 - CPU: 14.8% | Memory: 39.2% (67.1 GB)
18:15:09 - CPU: 14.5% | Memory: 39.2% (67.1 GB)
18:15:10 - CPU: 14.4% | Memory: 39.3% (67.3 GB)
18:15:11 - CPU: 14.5% | Memory: 39.3% (67.3 GB)
18:15:12 - CPU: 14.5% | Memory: 39.3% (67.3 GB)
18:15:13 - CPU: 14.5% | Memory: 39.4% (67.4 GB)
18:15:14 - CPU: 15.1% | Memory: 39.4% (67.4 GB)
18:15:15 - CPU: 16.1% | Memory: 39.4% (67.4 GB)
18:15:16 - CPU: 13.8% | Memory: 39.4% (67.4 GB)
18:15:17 - CPU: 16.2% | Memory: 39.4% (67.4 GB)
18:15:18 - CPU: 13.5% | Memory: 39.4% (67.4 GB)
18:15:19 - CPU: 13.8% | Memory: 39.4% (67.4 GB)
18:15:20 - CPU: 14.0% | Memory: 39.4% (67.4 GB)
18:15:21 - CPU: 13.7% | Memory: 39.4% (67.4 GB)
18:15:22 - CPU: 14.1% | Memory: 39.4% (67.4 GB)
18:15:23 - CPU: 13.8% | Memory: 39.4% (67.4 GB)
18:15:24 - CPU: 13.8% | Memory: 39.4% (67.4 GB)
18:15:25 - CPU: 13.8% | Memory: 39.4% (67.4 GB)
18:15:26 - CPU: 13.9% | Memory: 39.4% (67.4 GB)
18:15:27 - CPU: 14.3% | Memory: 39.4% (67.4 GB)
18:15:28 - CPU: 14.2% | Memory: 39.4% (67.4 GB)
18:15:29 - CPU: 13.6% | Memory: 39.4% (67.4 GB)
18:15:30 - CPU: 13.6% | Memory: 39.4% (67.4 GB)
18:15:31 - CPU: 13.5% | Memory: 39.4% (67.4 GB)
18:15:32 - CPU: 14.3% | Memory: 39.4% (67.4 GB)
18:15:33 - CPU: 14.8% | Memory: 39.4% (67.4 GB)
18:15:34 - CPU: 15.0% | Memory: 39.4% (67.4 GB)
18:15:35 - CPU: 16.7% | Memory: 39.4% (67.4 GB)
18:15:36 - CPU: 14.0% | Memory: 39.4% (67.4 GB)
18:15:37 - CPU: 13.1% | Memory: 39.4% (67.4 GB)
18:15:38 - CPU: 12.9% | Memory: 39.4% (67.4 GB)
18:15:39 - CPU: 13.3% | Memory: 39.4% (67.4 GB)
18:15:40 - CPU: 13.0% | Memory: 39.4% (67.4 GB)
18:15:41 - CPU: 13.0% | Memory: 39.4% (67.4 GB)
18:15:42 - CPU: 13.1% | Memory: 39.4% (67.4 GB)
18:15:43 - CPU: 12.9% | Memory: 39.4% (67.4 GB)
18:15:44 - CPU: 12.9% | Memory: 39.4% (67.4 GB)
18:15:45 - CPU: 13.3% | Memory: 39.4% (67.4 GB)
18:15:46 - CPU: 12.9% | Memory: 39.4% (67.4 GB)
18:15:47 - CPU: 13.2% | Memory: 39.4% (67.4 GB)
18:15:48 - CPU: 12.9% | Memory: 39.4% (67.4 GB)
18:15:49 - CPU: 13.1% | Memory: 39.4% (67.4 GB)
18:15:50 - CPU: 12.9% | Memory: 39.4% (67.3 GB)
18:15:51 - CPU: 13.2% | Memory: 39.4% (67.3 GB)
18:15:52 - CPU: 13.2% | Memory: 39.3% (67.3 GB)
18:15:53 - CPU: 13.0% | Memory: 39.3% (67.3 GB)
18:15:54 - CPU: 13.0% | Memory: 39.3% (67.3 GB)
18:15:55 - CPU: 13.0% | Memory: 39.3% (67.3 GB)
18:15:56 - CPU: 13.0% | Memory: 39.3% (67.3 GB)
18:15:57 - CPU: 13.4% | Memory: 39.3% (67.3 GB)
18:15:58 - CPU: 12.9% | Memory: 39.3% (67.3 GB)
18:15:59 - CPU: 12.9% | Memory: 39.3% (67.3 GB)
18:16:00 - CPU: 13.1% | Memory: 39.3% (67.3 GB)
18:16:01 - CPU: 12.9% | Memory: 39.3% (67.3 GB)
18:16:02 - CPU: 13.0% | Memory: 39.3% (67.3 GB)
18:16:03 - CPU: 13.3% | Memory: 39.3% (67.3 GB)
18:16:04 - CPU: 12.9% | Memory: 39.3% (67.3 GB)
18:16:05 - CPU: 13.1% | Memory: 39.3% (67.3 GB)
18:16:06 - CPU: 12.9% | Memory: 39.3% (67.3 GB)
18:16:07 - CPU: 13.0% | Memory: 39.3% (67.3 GB)
18:16:08 - CPU: 13.1% | Memory: 39.3% (67.3 GB)
18:16:09 - CPU: 13.7% | Memory: 39.3% (67.3 GB)
18:16:10 - CPU: 13.3% | Memory: 39.3% (67.3 GB)
18:16:11 - CPU: 13.2% | Memory: 39.3% (67.3 GB)
18:16:12 - CPU: 13.2% | Memory: 39.3% (67.3 GB)
18:16:13 - CPU: 13.2% | Memory: 39.3% (67.3 GB)
18:16:14 - CPU: 13.0% | Memory: 39.3% (67.3 GB)
18:16:15 - CPU: 13.5% | Memory: 39.3% (67.3 GB)
18:16:16 - CPU: 13.5% | Memory: 39.3% (67.3 GB)
18:16:17 - CPU: 13.0% | Memory: 39.3% (67.3 GB)
18:16:18 - CPU: 13.0% | Memory: 39.3% (67.3 GB)
18:16:19 - CPU: 13.1% | Memory: 39.3% (67.3 GB)
18:16:20 - CPU: 13.1% | Memory: 39.3% (67.3 GB)
18:16:21 - CPU: 13.2% | Memory: 39.3% (67.3 GB)
18:16:22 - CPU: 13.2% | Memory: 39.3% (67.3 GB)
18:16:23 - CPU: 12.9% | Memory: 39.3% (67.3 GB)
18:16:24 - CPU: 12.9% | Memory: 39.3% (67.3 GB)
18:16:25 - CPU: 13.1% | Memory: 39.3% (67.3 GB)
18:16:26 - CPU: 12.9% | Memory: 39.3% (67.3 GB)
18:16:27 - CPU: 13.1% | Memory: 39.3% (67.3 GB)
18:16:28 - CPU: 13.4% | Memory: 39.3% (67.3 GB)
18:16:29 - CPU: 12.9% | Memory: 39.3% (67.3 GB)
18:16:30 - CPU: 13.6% | Memory: 39.3% (67.3 GB)
18:16:31 - CPU: 13.2% | Memory: 39.3% (67.3 GB)
18:16:32 - CPU: 13.1% | Memory: 39.3% (67.3 GB)
18:16:33 - CPU: 12.9% | Memory: 39.3% (67.3 GB)
18:16:34 - CPU: 13.3% | Memory: 39.4% (67.4 GB)
18:16:35 - CPU: 13.0% | Memory: 39.4% (67.4 GB)
18:16:36 - CPU: 13.4% | Memory: 39.4% (67.4 GB)
18:16:37 - CPU: 13.2% | Memory: 39.4% (67.4 GB)
18:16:38 - CPU: 13.0% | Memory: 39.4% (67.4 GB)
18:16:39 - CPU: 12.9% | Memory: 39.4% (67.4 GB)
18:16:40 - CPU: 13.4% | Memory: 39.4% (67.4 GB)
18:16:41 - CPU: 14.1% | Memory: 39.4% (67.4 GB)
18:16:42 - CPU: 13.6% | Memory: 39.4% (67.4 GB)
18:16:43 - CPU: 13.4% | Memory: 39.4% (67.4 GB)
18:16:44 - CPU: 13.4% | Memory: 39.4% (67.4 GB)
18:16:45 - CPU: 13.3% | Memory: 39.4% (67.4 GB)
18:16:46 - CPU: 13.9% | Memory: 39.4% (67.4 GB)
18:16:47 - CPU: 13.5% | Memory: 39.4% (67.4 GB)
18:16:48 - CPU: 13.2% | Memory: 39.4% (67.4 GB)
18:16:49 - CPU: 13.4% | Memory: 39.4% (67.4 GB)
18:16:50 - CPU: 13.3% | Memory: 39.4% (67.4 GB)
18:16:51 - CPU: 13.5% | Memory: 39.4% (67.4 GB)
18:16:52 - CPU: 13.7% | Memory: 39.4% (67.4 GB)
18:16:54 - CPU: 12.9% | Memory: 39.4% (67.4 GB)
18:16:55 - CPU: 13.3% | Memory: 39.4% (67.4 GB)
18:16:56 - CPU: 13.7% | Memory: 39.4% (67.4 GB)
18:16:57 - CPU: 14.1% | Memory: 39.4% (67.4 GB)
18:16:58 - CPU: 13.6% | Memory: 39.4% (67.4 GB)
18:16:59 - CPU: 19.4% | Memory: 39.4% (67.4 GB)
18:17:00 - CPU: 15.3% | Memory: 39.4% (67.5 GB)
18:17:01 - CPU: 13.8% | Memory: 39.4% (67.5 GB)
18:17:02 - CPU: 17.4% | Memory: 39.4% (67.5 GB)
18:17:03 - CPU: 15.0% | Memory: 39.4% (67.4 GB)
18:17:04 - CPU: 15.6% | Memory: 39.5% (67.6 GB)
18:17:05 - CPU: 15.5% | Memory: 39.5% (67.6 GB)
18:17:06 - CPU: 14.2% | Memory: 39.5% (67.6 GB)
18:17:07 - CPU: 13.9% | Memory: 39.5% (67.6 GB)
18:17:08 - CPU: 14.8% | Memory: 39.5% (67.7 GB)
18:17:09 - CPU: 15.1% | Memory: 39.5% (67.7 GB)
18:17:10 - CPU: 14.8% | Memory: 39.5% (67.7 GB)
18:17:11 - CPU: 13.7% | Memory: 39.5% (67.7 GB)
18:17:12 - CPU: 14.0% | Memory: 39.5% (67.7 GB)
18:17:13 - CPU: 13.8% | Memory: 39.5% (67.7 GB)
18:17:14 - CPU: 14.2% | Memory: 39.5% (67.7 GB)
18:17:15 - CPU: 13.3% | Memory: 39.5% (67.7 GB)
18:17:16 - CPU: 16.5% | Memory: 39.5% (67.7 GB)
18:17:17 - CPU: 14.3% | Memory: 39.5% (67.7 GB)
18:17:18 - CPU: 14.5% | Memory: 39.5% (67.7 GB)
18:17:19 - CPU: 13.4% | Memory: 39.5% (67.7 GB)
18:17:20 - CPU: 14.0% | Memory: 39.5% (67.7 GB)
18:17:21 - CPU: 13.2% | Memory: 39.5% (67.6 GB)
18:17:22 - CPU: 13.2% | Memory: 39.5% (67.6 GB)
18:17:23 - CPU: 13.8% | Memory: 39.5% (67.5 GB)
18:17:24 - CPU: 14.9% | Memory: 39.4% (67.4 GB)
18:17:25 - CPU: 13.2% | Memory: 39.4% (67.4 GB)
18:17:26 - CPU: 12.8% | Memory: 39.4% (67.4 GB)
18:17:27 - CPU: 13.2% | Memory: 39.4% (67.4 GB)
